Adresse du logement (N° et nom de la rue),Code postal du logement,Description de l'état du logement,Photo témoignant de l'indignité des lieux,Le bailleur est un bailleur,Le logement a déjà été frappé d'un arrêté de péril imminent
9 rue du village,13006,"Déclaré insalubre depuis de nombreuses années , le batiment également",https://admin.typeform.com/form/results/file/download/w1hLPb/Myuxql01XqGd/1d705e95c880-P1080200.JPG?key=aHR0cHM6Ly90eXBlZm9ybS1maWxlLXVwbG9hZC5zMy5hbWF6b25hd3MuY29tL3cxaExQYi9NeXV4cWwwMVhxR2QvMWQ3MDVlOTVjODgwLVAxMDgwMjAwLkpQRz9YLUFtei1BbGdvcml0aG09QVdTNC1ITUFDLVNIQTI1NiZYLUFtei1DcmVkZW50aWFsPUFLSUFKWFlUUUM1VERJU0JUNTNRJTJGMjAxODExMDglMkZ1cy1lYXN0LTElMkZzMyUyRmF3czRfcmVxdWVzdCZYLUFtei1EYXRlPTIwMTgxMTA4VDE1MDM1OVomWC1BbXotRXhwaXJlcz04NjQwMCZYLUFtei1TaWduZWRIZWFkZXJzPWhvc3QmWC1BbXotU2lnbmF0dXJlPTFjMTA4NjJmNzY1ZDU1MjU3MTE4NWY0NDMzY2MyNDEwMDk5MDBkNWJjMzI3MTBkYzkyYTliYzUwODJlNTk4MDM%3D,privé,Je ne sais pas
86/88 cours gouffe 13006 ,13006,Immeuble insalubre qui est muré et qui a déjà été mis en péril en 2012 depuis plus rien,https://admin.typeform.com/form/results/file/download/w1hLPb/Myuxql01XqGd/b831104efc7b-image.jpg?key=aHR0cHM6Ly90eXBlZm9ybS1maWxlLXVwbG9hZC5zMy5hbWF6b25hd3MuY29tL3cxaExQYi9NeXV4cWwwMVhxR2QvYjgzMTEwNGVmYzdiLWltYWdlLmpwZz9YLUFtei1BbGdvcml0aG09QVdTNC1ITUFDLVNIQTI1NiZYLUFtei1DcmVkZW50aWFsPUFLSUFKWFlUUUM1VERJU0JUNTNRJTJGMjAxODExMDglMkZ1cy1lYXN0LTElMkZzMyUyRmF3czRfcmVxdWVzdCZYLUFtei1EYXRlPTIwMTgxMTA4VDE5MTQxOVomWC1BbXotRXhwaXJlcz04NjQwMCZYLUFtei1TaWduZWRIZWFkZXJzPWhvc3QmWC1BbXotU2lnbmF0dXJlPWRhZjEyMWIwZTQ5N2MzZDJiMmJjYTY2MjFmMzljZDk1MWVjMzczOWViMWE3Zjc3NmNmYmFiN2IxYjExMmY3Yjc%3D,privé,Oui
5 rue de Village,13006,"Immeuble en ruine, condamné, et prêt à tomber",https://admin.typeform.com/form/results/file/download/w1hLPb/Myuxql01XqGd/41a815715f65-IMG_20181107_090806.jpg?key=aHR0cHM6Ly90eXBlZm9ybS1maWxlLXVwbG9hZC5zMy5hbWF6b25hd3MuY29tL3cxaExQYi9NeXV4cWwwMVhxR2QvNDFhODE1NzE1ZjY1LUlNR18yMDE4MTEwN18wOTA4MDYuanBnP1gtQW16LUFsZ29yaXRobT1BV1M0LUhNQUMtU0hBMjU2JlgtQW16LUNyZWRlbnRpYWw9QUtJQUpYWVRRQzVURElTQlQ1M1ElMkYyMDE4MTEwOCUyRnVzLWVhc3QtMSUyRnMzJTJGYXdzNF9yZXF1ZXN0JlgtQW16LURhdGU9MjAxODExMDhUMjI0MzM1WiZYLUFtei1FeHBpcmVzPTg2NDAwJlgtQW16LVNpZ25lZEhlYWRlcnM9aG9zdCZYLUFtei1TaWduYXR1cmU9NWMxYTI1ZWNkMWM2MTgzYzNiZTQ3MTU3MzY2NDFmMTUxMWRiODBlNmEwNTI5ZDNmYTA2YjVkNzQzZjVmMGMwYg%3D%3D,je ne sais pas,Oui
43 rue des 3 frères Barthelemy ,13006,"Plancher de la salle de bain qui s’affaisse _x000D_
Humidité _x000D_
infiltrations en façade côté cour _x000D_
 moisissures salle de bain _x000D_
fuites d’eau",,privé,Non
12 rue du commandant imhaus 13006 marseille,13006,trous sur le plancher terrasses dans un etat precaire murs aussi,,privé,Non
9 rue des bergers 13006 marseille,13006,Etat d'insalubrité reconnu des services sanitaires depuis plus de 25 ans pour l'immeuble . L'agence immobiliere ne fournit plus aucun décomptes ni quittances de loyer,https://admin.typeform.com/form/results/file/download/w1hLPb/Myuxql01XqGd/e0f47f181d4c-P1080199.JPG?key=aHR0cHM6Ly90eXBlZm9ybS1maWxlLXVwbG9hZC5zMy5hbWF6b25hd3MuY29tL3cxaExQYi9NeXV4cWwwMVhxR2QvZTBmNDdmMTgxZDRjLVAxMDgwMTk5LkpQRz9YLUFtei1BbGdvcml0aG09QVdTNC1ITUFDLVNIQTI1NiZYLUFtei1DcmVkZW50aWFsPUFLSUFKWFlUUUM1VERJU0JUNTNRJTJGMjAxODExMDklMkZ1cy1lYXN0LTElMkZzMyUyRmF3czRfcmVxdWVzdCZYLUFtei1EYXRlPTIwMTgxMTA5VDE2MDEzNVomWC1BbXotRXhwaXJlcz04NjQwMCZYLUFtei1TaWduZWRIZWFkZXJzPWhvc3QmWC1BbXotU2lnbmF0dXJlPTViZjE2ZGVhMTA5ZWZiMTU5YjE2OTM2ZTI2MmVkYjhhZDA3ZDM3YTcxMmIzNGIwZTI3ZDcwMjJlNmEwYjE5MTU%3D,privé,Oui
5 rue du village ,13006,Immeuble sur 4 niveaux 3 fenêtres par étage - délabré ,https://admin.typeform.com/form/results/file/download/w1hLPb/Myuxql01XqGd/f698e51db683-5A1043EC_C226_48A2_9409_E6B9D7CB84E0.png?key=aHR0cHM6Ly90eXBlZm9ybS1maWxlLXVwbG9hZC5zMy5hbWF6b25hd3MuY29tL3cxaExQYi9NeXV4cWwwMVhxR2QvZjY5OGU1MWRiNjgzLTVBMTA0M0VDX0MyMjZfNDhBMl85NDA5X0U2QjlEN0NCODRFMC5wbmc%2FWC1BbXotQWxnb3JpdGhtPUFXUzQtSE1BQy1TSEEyNTYmWC1BbXotQ3JlZGVudGlhbD1BS0lBSlhZVFFDNVRESVNCVDUzUSUyRjIwMTgxMTEwJTJGdXMtZWFzdC0xJTJGczMlMkZhd3M0X3JlcXVlc3QmWC1BbXotRGF0ZT0yMDE4MTExMFQwMzQ0NDZaJlgtQW16LUV4cGlyZXM9ODY0MDAmWC1BbXotU2lnbmVkSGVhZGVycz1ob3N0JlgtQW16LVNpZ25hdHVyZT01M2NjZmM1N2UyZTQ0MjUxNDg0ZjM3ZmJkMjg1YTM4ZTRiZjFkMTg0MDQ2OGYxZGVkMDQyMjNkNDFiYTA3YjQx,je ne sais pas,Je ne sais pas
52 rue saint sebastien 2eme etage,13006,"fissures cage escalier se prolongeant dans appartement_x000D_
sol tomettes inegal_x000D_
encadrement fenetres disjoint_x000D_
pas d'etancheité thermique et pluie._x000D_
pour les photos voyez vous-même_x000D_
a noter que ""consciencieusement"" des repères ? sont platrés pres des fissures dilatées, sans plus ,depuis des années._x000D_
je temoigne pour ma soeur a qui j'avais laissé la suite locative_x000D_
les proprios ou heritiers s'en foutent mais n'oublient pas les loyers en temps et heure._x000D_
J.MARTINS 0685828834",,privé,Je ne sais pas
74 rue Perrin solliers,13006,Des étais pour soutenir l’immeuble c est inquiétant ,https://admin.typeform.com/form/results/file/download/w1hLPb/Myuxql01XqGd/8f3ceb2c4ef1-3D774CFE_2D43_4112_8FBD_6718FD95E2CE.jpeg?key=aHR0cHM6Ly90eXBlZm9ybS1maWxlLXVwbG9hZC5zMy5hbWF6b25hd3MuY29tL3cxaExQYi9NeXV4cWwwMVhxR2QvOGYzY2ViMmM0ZWYxLTNENzc0Q0ZFXzJENDNfNDExMl84RkJEXzY3MThGRDk1RTJDRS5qcGVnP1gtQW16LUFsZ29yaXRobT1BV1M0LUhNQUMtU0hBMjU2JlgtQW16LUNyZWRlbnRpYWw9QUtJQUpYWVRRQzVURElTQlQ1M1ElMkYyMDE4MTExMCUyRnVzLWVhc3QtMSUyRnMzJTJGYXdzNF9yZXF1ZXN0JlgtQW16LURhdGU9MjAxODExMTBUMTgwNjU1WiZYLUFtei1FeHBpcmVzPTg2NDAwJlgtQW16LVNpZ25lZEhlYWRlcnM9aG9zdCZYLUFtei1TaWduYXR1cmU9MjcwNGFjZDY3NjE3MGRmNDEwMTEzMjJjMzJhY2U0MjUwODZlY2I5ZjMxM2MwYjMyYWEwZGRkMGU3Y2Q1YjU1YQ%3D%3D,je ne sais pas,Je ne sais pas
28 rue de navarin,13006,Façade arrière qui part ,,privé,Je ne sais pas
9 rue des bergers ,13006,"et je n'envoie pas son interieur par pudeur . C' est  au 9 rue des bergers 6 eme arrd , frappé d'arreté depuis + de 20 ans , insalubres immondisses , une femme invalide (physique)77 ans au 2eme étage, diabétique , problèmes respiratoires...ils essaient de la foutre dehors sans prendre en compte un relogement , un déménagement ....elle est malade ++ depuis des années à cause de cela ...dit que c'est sa dernière année de vie tant elle n'en peut plus d'avoir lutté dans cette pourriture....plus de quittances délivrées,plus de décomptes de charges ...rien !! ils esperent comme cela que par sa mort, LES ECONOMIES SERONT REALISES. Elle ne dort plus que peu, à fait dernierement plusieurs malaises du au stress, à sa santé des plus mauvaises, se déplace difficilement. Bailleur privé, agence immobilière. Si ça vous interesse contactez moi en MP . Des années quelle le fait valoir , en vain.",https://admin.typeform.com/form/results/file/download/w1hLPb/Myuxql01XqGd/0805b0edbbd7-FB_IMG_1541974741301.jpg?key=aHR0cHM6Ly90eXBlZm9ybS1maWxlLXVwbG9hZC5zMy5hbWF6b25hd3MuY29tL3cxaExQYi9NeXV4cWwwMVhxR2QvMDgwNWIwZWRiYmQ3LUZCX0lNR18xNTQxOTc0NzQxMzAxLmpwZz9YLUFtei1BbGdvcml0aG09QVdTNC1ITUFDLVNIQTI1NiZYLUFtei1DcmVkZW50aWFsPUFLSUFKWFlUUUM1VERJU0JUNTNRJTJGMjAxODExMTElMkZ1cy1lYXN0LTElMkZzMyUyRmF3czRfcmVxdWVzdCZYLUFtei1EYXRlPTIwMTgxMTExVDIyMjM0N1omWC1BbXotRXhwaXJlcz04NjQwMCZYLUFtei1TaWduZWRIZWFkZXJzPWhvc3QmWC1BbXotU2lnbmF0dXJlPTdjMDE1N2JiOWIzMDkzNTZiNjY2M2UyOTIwYjgzZDNjYWQ2YmNkNWJkNTM5ZmM1Y2NkMjU3MTM1N2MxMWZjNjc%3D,privé,Oui
39 rue Fongate,13006,Marchand de sommeil - Vétusté - Façade dégradée - 2 appartement brûlés et laissés ouverts depuis des mois - Nombreux dégâts des eaux ,https://admin.typeform.com/form/results/file/download/w1hLPb/Myuxql01XqGd/80e0ad360f26-IMG_0297.JPG?key=aHR0cHM6Ly90eXBlZm9ybS1maWxlLXVwbG9hZC5zMy5hbWF6b25hd3MuY29tL3cxaExQYi9NeXV4cWwwMVhxR2QvODBlMGFkMzYwZjI2LUlNR18wMjk3LkpQRz9YLUFtei1BbGdvcml0aG09QVdTNC1ITUFDLVNIQTI1NiZYLUFtei1DcmVkZW50aWFsPUFLSUFKWFlUUUM1VERJU0JUNTNRJTJGMjAxODExMTIlMkZ1cy1lYXN0LTElMkZzMyUyRmF3czRfcmVxdWVzdCZYLUFtei1EYXRlPTIwMTgxMTEyVDA5NDczNlomWC1BbXotRXhwaXJlcz04NjQwMCZYLUFtei1TaWduZWRIZWFkZXJzPWhvc3QmWC1BbXotU2lnbmF0dXJlPTJiMGJlM2ZjMGQ3NDAzOGViYjI3YTZkMGE2MTEwMmZiMjNmZThhMDVjMDk1NmM1ODdiNzIyNjdkMTZhZmQyNGU%3D,privé,Je ne sais pas
28 rue de village,13006,"Fissure dans les murs, humidité, infiltration d'eau via ma terrasse (il pleut chez ma voisine du dessous, son mur devient du papier mâché, et le mur de ma salle de bain est infiltré/moisi dû à l'eau de la terrasse), chauffage grille pain. L'agence ne veut pas le remplacer donc je ne chauffe pas à cause de la facture. Ça entraîne encore plus d'humidité. Pas d'isolation murs/plafond. J'ai signalé des vrillettes dans la poutre du plafond fin mai. Une entreprise est venu faire un devis le 6  septembre. Mon agence n'a toujours pas validé le devis.",https://admin.typeform.com/form/results/file/download/w1hLPb/Myuxql01XqGd/55753bb08866-45906126_2341716799430663_4775849984991952896_n.jpg?key=aHR0cHM6Ly90eXBlZm9ybS1maWxlLXVwbG9hZC5zMy5hbWF6b25hd3MuY29tL3cxaExQYi9NeXV4cWwwMVhxR2QvNTU3NTNiYjA4ODY2LTQ1OTA2MTI2XzIzNDE3MTY3OTk0MzA2NjNfNDc3NTg0OTk4NDk5MTk1Mjg5Nl9uLmpwZz9YLUFtei1BbGdvcml0aG09QVdTNC1ITUFDLVNIQTI1NiZYLUFtei1DcmVkZW50aWFsPUFLSUFKWFlUUUM1VERJU0JUNTNRJTJGMjAxODExMTIlMkZ1cy1lYXN0LTElMkZzMyUyRmF3czRfcmVxdWVzdCZYLUFtei1EYXRlPTIwMTgxMTEyVDE0MzcwOFomWC1BbXotRXhwaXJlcz04NjQwMCZYLUFtei1TaWduZWRIZWFkZXJzPWhvc3QmWC1BbXotU2lnbmF0dXJlPTZjYmYwYzQ3NDRhNGQ4MTc3MjQ1M2UxNzY1NDFjZmNiODRhNjQyNTViYWE2NTA1ZDFhNDdiZjZlYzM2ODFjYWI%3D,je ne sais pas,Je ne sais pas
69 cours Julien,13006,"Fuite d'eau dans plusieurs pièces, eau qui coule des plafonniers, système électrique hors d'usage dans certaines pièces. Fenêtres cassées, fissures dans beaucoup de murs...",https://admin.typeform.com/form/results/file/download/w1hLPb/Myuxql01XqGd/560c1a02ef5a-IMG_20181112_WA0002.jpg?key=aHR0cHM6Ly90eXBlZm9ybS1maWxlLXVwbG9hZC5zMy5hbWF6b25hd3MuY29tL3cxaExQYi9NeXV4cWwwMVhxR2QvNTYwYzFhMDJlZjVhLUlNR18yMDE4MTExMl9XQTAwMDIuanBnP1gtQW16LUFsZ29yaXRobT1BV1M0LUhNQUMtU0hBMjU2JlgtQW16LUNyZWRlbnRpYWw9QUtJQUpYWVRRQzVURElTQlQ1M1ElMkYyMDE4MTExMiUyRnVzLWVhc3QtMSUyRnMzJTJGYXdzNF9yZXF1ZXN0JlgtQW16LURhdGU9MjAxODExMTJUMTk1NTIyWiZYLUFtei1FeHBpcmVzPTg2NDAwJlgtQW16LVNpZ25lZEhlYWRlcnM9aG9zdCZYLUFtei1TaWduYXR1cmU9MWQ5OWQwNGU0ODk3MWNhMWJkYTJkY2NiOTcxZGRiNzQ0N2IxOWVhZGM4ZTYyNmE5MDQzNGRjZDVlMWE5YTY5YQ%3D%3D,privé,Non
26 cours Julien,13006,C'est l'immeuble et en particulier ls communs qui ne sont pas entretenus depuis plus de 15 ans malgré les demandes des locataires,https://admin.typeform.com/form/results/file/download/w1hLPb/Myuxql01XqGd/ba8ddc6889e0-escalier.jpg?key=aHR0cHM6Ly90eXBlZm9ybS1maWxlLXVwbG9hZC5zMy5hbWF6b25hd3MuY29tL3cxaExQYi9NeXV4cWwwMVhxR2QvYmE4ZGRjNjg4OWUwLWVzY2FsaWVyLmpwZz9YLUFtei1BbGdvcml0aG09QVdTNC1ITUFDLVNIQTI1NiZYLUFtei1DcmVkZW50aWFsPUFLSUFKWFlUUUM1VERJU0JUNTNRJTJGMjAxODExMTMlMkZ1cy1lYXN0LTElMkZzMyUyRmF3czRfcmVxdWVzdCZYLUFtei1EYXRlPTIwMTgxMTEzVDA3MTgxM1omWC1BbXotRXhwaXJlcz04NjQwMCZYLUFtei1TaWduZWRIZWFkZXJzPWhvc3QmWC1BbXotU2lnbmF0dXJlPTNlMWEyNTY4MTdjZjU4NmY5ZGRkMjc3NzI0M2Y5ZGRhOGJmYWZiOWQwMzQ5MDE5ZDEwY2VkNzMwNjc0MmMxZWM%3D,privé,
"29, rue auguste Blanqui",13006,Soutennemment terrasse façade immeuble détériorée,https://admin.typeform.com/form/results/file/download/w1hLPb/Myuxql01XqGd/ccc69ba3793e-IMG_20181116_WA0002.jpg?key=aHR0cHM6Ly90eXBlZm9ybS1maWxlLXVwbG9hZC5zMy5hbWF6b25hd3MuY29tL3cxaExQYi9NeXV4cWwwMVhxR2QvY2NjNjliYTM3OTNlLUlNR18yMDE4MTExNl9XQTAwMDIuanBnP1gtQW16LUFsZ29yaXRobT1BV1M0LUhNQUMtU0hBMjU2JlgtQW16LUNyZWRlbnRpYWw9QUtJQUpYWVRRQzVURElTQlQ1M1ElMkYyMDE4MTExNyUyRnVzLWVhc3QtMSUyRnMzJTJGYXdzNF9yZXF1ZXN0JlgtQW16LURhdGU9MjAxODExMTdUMTI0MDI2WiZYLUFtei1FeHBpcmVzPTg2NDAwJlgtQW16LVNpZ25lZEhlYWRlcnM9aG9zdCZYLUFtei1TaWduYXR1cmU9YjZlNzIyMzE0NGY2MTU3NzkwMTAxYjdjMDhjMGRhZDY2NDkxNmYwMzQ1NTI3MWVhMTQ0MzYwZjJlMmRkMzIyNw%3D%3D,privé,Je ne sais pas
Rue paradis angle rue Pierre dupre,13006,Façade lezardee,https://admin.typeform.com/form/results/file/download/w1hLPb/Myuxql01XqGd/e0217a0698e6-20181118_160432.jpg?key=aHR0cHM6Ly90eXBlZm9ybS1maWxlLXVwbG9hZC5zMy5hbWF6b25hd3MuY29tL3cxaExQYi9NeXV4cWwwMVhxR2QvZTAyMTdhMDY5OGU2LTIwMTgxMTE4XzE2MDQzMi5qcGc%2FWC1BbXotQWxnb3JpdGhtPUFXUzQtSE1BQy1TSEEyNTYmWC1BbXotQ3JlZGVudGlhbD1BS0lBSlhZVFFDNVRESVNCVDUzUSUyRjIwMTgxMTE4JTJGdXMtZWFzdC0xJTJGczMlMkZhd3M0X3JlcXVlc3QmWC1BbXotRGF0ZT0yMDE4MTExOFQxNzE0MDhaJlgtQW16LUV4cGlyZXM9ODY0MDAmWC1BbXotU2lnbmVkSGVhZGVycz1ob3N0JlgtQW16LVNpZ25hdHVyZT05NmU3NWJmNDdmOTQxODhlM2EyODUxOGUyOGM3MGNjODY0YTY2ZDQwMjY1ZWNmYzE2YmNhZGU5M2RmODA3MzQ1,je ne sais pas,Je ne sais pas
27 rue Nau ,13006,"De nombreuses fissures de plus en plus grandes, électricité dans l'eau. ",https://admin.typeform.com/form/results/file/download/w1hLPb/Myuxql01XqGd/7c863956d329-image3.jpeg?key=aHR0cHM6Ly90eXBlZm9ybS1maWxlLXVwbG9hZC5zMy5hbWF6b25hd3MuY29tL3cxaExQYi9NeXV4cWwwMVhxR2QvN2M4NjM5NTZkMzI5LWltYWdlMy5qcGVnP1gtQW16LUFsZ29yaXRobT1BV1M0LUhNQUMtU0hBMjU2JlgtQW16LUNyZWRlbnRpYWw9QUtJQUpYWVRRQzVURElTQlQ1M1ElMkYyMDE4MTExOSUyRnVzLWVhc3QtMSUyRnMzJTJGYXdzNF9yZXF1ZXN0JlgtQW16LURhdGU9MjAxODExMTlUMTc1MzI1WiZYLUFtei1FeHBpcmVzPTg2NDAwJlgtQW16LVNpZ25lZEhlYWRlcnM9aG9zdCZYLUFtei1TaWduYXR1cmU9N2Y0ODZhNzM5MjVmMDBjNmZjZWY4ZDBkZmY4ODAwNWNmM2NlYjAyNTI4MWQ4Y2RlNGRlNzgzMjcyYjMwMGEyOQ%3D%3D,privé,Je ne sais pas
117 rue Paradis,13006,Allèges de fenêtre qui tombent,https://admin.typeform.com/form/results/file/download/w1hLPb/Myuxql01XqGd/0bcbd946d600-4C6593A9_F73E_47D7_BA7D_4E059A40159D.jpeg?key=aHR0cHM6Ly90eXBlZm9ybS1maWxlLXVwbG9hZC5zMy5hbWF6b25hd3MuY29tL3cxaExQYi9NeXV4cWwwMVhxR2QvMGJjYmQ5NDZkNjAwLTRDNjU5M0E5X0Y3M0VfNDdEN19CQTdEXzRFMDU5QTQwMTU5RC5qcGVnP1gtQW16LUFsZ29yaXRobT1BV1M0LUhNQUMtU0hBMjU2JlgtQW16LUNyZWRlbnRpYWw9QUtJQUpYWVRRQzVURElTQlQ1M1ElMkYyMDE4MTEyMCUyRnVzLWVhc3QtMSUyRnMzJTJGYXdzNF9yZXF1ZXN0JlgtQW16LURhdGU9MjAxODExMjBUMTk0MzA2WiZYLUFtei1FeHBpcmVzPTg2NDAwJlgtQW16LVNpZ25lZEhlYWRlcnM9aG9zdCZYLUFtei1TaWduYXR1cmU9NGYwMTFiYThjNGFiOGU3MWQ2YzMxOTIwN2UzZDI3MjU4Nzc0NWVjMWE4NjhjYjk3ZGE1MmNmYWNkZTBhYzQ4MQ%3D%3D,je ne sais pas,Je ne sais pas
113 rue Paradis ,13006,Les éléments de façade tombent,https://admin.typeform.com/form/results/file/download/w1hLPb/Myuxql01XqGd/f7968dbc8d82-0DF208D1_6B26_4BFC_91CA_666BF8D35789.jpeg?key=aHR0cHM6Ly90eXBlZm9ybS1maWxlLXVwbG9hZC5zMy5hbWF6b25hd3MuY29tL3cxaExQYi9NeXV4cWwwMVhxR2QvZjc5NjhkYmM4ZDgyLTBERjIwOEQxXzZCMjZfNEJGQ185MUNBXzY2NkJGOEQzNTc4OS5qcGVnP1gtQW16LUFsZ29yaXRobT1BV1M0LUhNQUMtU0hBMjU2JlgtQW16LUNyZWRlbnRpYWw9QUtJQUpYWVRRQzVURElTQlQ1M1ElMkYyMDE4MTEyMCUyRnVzLWVhc3QtMSUyRnMzJTJGYXdzNF9yZXF1ZXN0JlgtQW16LURhdGU9MjAxODExMjBUMTk0NjQwWiZYLUFtei1FeHBpcmVzPTg2NDAwJlgtQW16LVNpZ25lZEhlYWRlcnM9aG9zdCZYLUFtei1TaWduYXR1cmU9MmU3YmFhZGYwNjliMjFhZTYxNGZiNDVhNzgwM2M2YjA1Y2VjODc5YzUzNzVkNGYwMzAyYmFmMWZlYjg5MzQzZg%3D%3D,je ne sais pas,Je ne sais pas
10 Cours Julien ,13006,"immeuble en péril _x000D_
Évacué par service civil mairie 20/11/18",https://admin.typeform.com/form/results/file/download/w1hLPb/Myuxql01XqGd/04d30a5ed90b-C317DFBB_E546_4AC1_A31B_334C4E4DBC40.jpeg?key=aHR0cHM6Ly90eXBlZm9ybS1maWxlLXVwbG9hZC5zMy5hbWF6b25hd3MuY29tL3cxaExQYi9NeXV4cWwwMVhxR2QvMDRkMzBhNWVkOTBiLUMzMTdERkJCX0U1NDZfNEFDMV9BMzFCXzMzNEM0RTREQkM0MC5qcGVnP1gtQW16LUFsZ29yaXRobT1BV1M0LUhNQUMtU0hBMjU2JlgtQW16LUNyZWRlbnRpYWw9QUtJQUpYWVRRQzVURElTQlQ1M1ElMkYyMDE4MTEyMCUyRnVzLWVhc3QtMSUyRnMzJTJGYXdzNF9yZXF1ZXN0JlgtQW16LURhdGU9MjAxODExMjBUMjE1MDMyWiZYLUFtei1FeHBpcmVzPTg2NDAwJlgtQW16LVNpZ25lZEhlYWRlcnM9aG9zdCZYLUFtei1TaWduYXR1cmU9OGQ2NmUyYWRiZTA2OTg4NTk2YmY4MDkxYWMyMWZhNTNhNzAxODhiZmE2MjJkZjRlZGY2M2NiNDljZWViYTc2Yw%3D%3D,je ne sais pas,Oui
62 cours julien,13006,failles sur les murs de là cage d'escalier allant du premier au quatrième étage. etc,https://admin.typeform.com/form/results/file/download/w1hLPb/Myuxql01XqGd/392687ec9c35-46480578_10157108152654734_6540609797325062144_n.jpg?key=aHR0cHM6Ly90eXBlZm9ybS1maWxlLXVwbG9hZC5zMy5hbWF6b25hd3MuY29tL3cxaExQYi9NeXV4cWwwMVhxR2QvMzkyNjg3ZWM5YzM1LTQ2NDgwNTc4XzEwMTU3MTA4MTUyNjU0NzM0XzY1NDA2MDk3OTczMjUwNjIxNDRfbi5qcGc%2FWC1BbXotQWxnb3JpdGhtPUFXUzQtSE1BQy1TSEEyNTYmWC1BbXotQ3JlZGVudGlhbD1BS0lBSlhZVFFDNVRESVNCVDUzUSUyRjIwMTgxMTIyJTJGdXMtZWFzdC0xJTJGczMlMkZhd3M0X3JlcXVlc3QmWC1BbXotRGF0ZT0yMDE4MTEyMlQxMzEwMDZaJlgtQW16LUV4cGlyZXM9ODY0MDAmWC1BbXotU2lnbmVkSGVhZGVycz1ob3N0JlgtQW16LVNpZ25hdHVyZT1kNDYxYzdiYTA5NDJkMWEyYzY0MmE2Yzk3NjY3NzdkYmNhOGE0N2MxNDQ2ZDI3ZTc1NDA4Yjg0ZDJkMDgzOTNl,privé,Oui
1 rue du levant ,13007,Humidité fuite du toit dans la chambre principale problème  évacuation ,https://admin.typeform.com/form/results/file/download/w1hLPb/Myuxql01XqGd/53481ee21e4c-20181030_114830.jpg?key=aHR0cHM6Ly90eXBlZm9ybS1maWxlLXVwbG9hZC5zMy5hbWF6b25hd3MuY29tL3cxaExQYi9NeXV4cWwwMVhxR2QvNTM0ODFlZTIxZTRjLTIwMTgxMDMwXzExNDgzMC5qcGc%2FWC1BbXotQWxnb3JpdGhtPUFXUzQtSE1BQy1TSEEyNTYmWC1BbXotQ3JlZGVudGlhbD1BS0lBSlhZVFFDNVRESVNCVDUzUSUyRjIwMTgxMTA3JTJGdXMtZWFzdC0xJTJGczMlMkZhd3M0X3JlcXVlc3QmWC1BbXotRGF0ZT0yMDE4MTEwN1QyMDQ0MDRaJlgtQW16LUV4cGlyZXM9ODY0MDAmWC1BbXotU2lnbmVkSGVhZGVycz1ob3N0JlgtQW16LVNpZ25hdHVyZT03MmY0MjQ4ZDg0NzZhYmJiMDUxOGE4YjMyM2MyNGM2NmU2NmRmNmU2ZGZkZGZiNWNkYTg3NzJhNjAzOGQ5ZWU5,privé,Non
19 rue des tyrans,13007,"Canalisation des eaux usées qui remonte dans la douche, mal façon concernant les tuyaux qui se relis entre eux (machine à laver, évier de la cuisine, evier de salle de bain l eaux remonte dans la douche) impossibilité de se laver. Grosse coulé d eaux dans ka cuisine lors de grosse pluie. Baie vitrée qui bouché lors de fort vent et non étanche. L appartement et au 6em et dernier étage. Le logement empêche la locataire du dessous de vivre décemment car l eau coulé aussi chez elle. ",https://admin.typeform.com/form/results/file/download/w1hLPb/Myuxql01XqGd/c63f9c51b435-20181107_221624.jpg?key=aHR0cHM6Ly90eXBlZm9ybS1maWxlLXVwbG9hZC5zMy5hbWF6b25hd3MuY29tL3cxaExQYi9NeXV4cWwwMVhxR2QvYzYzZjljNTFiNDM1LTIwMTgxMTA3XzIyMTYyNC5qcGc%2FWC1BbXotQWxnb3JpdGhtPUFXUzQtSE1BQy1TSEEyNTYmWC1BbXotQ3JlZGVudGlhbD1BS0lBSlhZVFFDNVRESVNCVDUzUSUyRjIwMTgxMTA3JTJGdXMtZWFzdC0xJTJGczMlMkZhd3M0X3JlcXVlc3QmWC1BbXotRGF0ZT0yMDE4MTEwN1QyMTE5MDVaJlgtQW16LUV4cGlyZXM9ODY0MDAmWC1BbXotU2lnbmVkSGVhZGVycz1ob3N0JlgtQW16LVNpZ25hdHVyZT03MDcwYzdmNmExYmVkNmFiZDgyY2NiYmQ1YmQ4MmI0MmZkN2NiMjBjYTMzMGQwZmVkOGE3YTQ5N2IzM2I1NzA3,privé,Oui
21 et 23 rue Paul Codaccioni,13007,Inconnu mais les façades sont imposantes de laissez-aller,,je ne sais pas,Je ne sais pas
